"county","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"sterling",8.79231,10.855065,15.041665,19.82618,24.723885,28.326745,28.87356,29.142155,25.406205,19.98744,13.474455,8.472245
"stonewall",7.953715,9.85928,14.537975,19.30019,24.347515,28.847015,30.24214,30.448785,26.1107,20.015785,13.294795,7.715975
"sutton",10.524455,12.469755,16.417425,20.816065,25.49652,28.317855,28.472595,28.85984,25.63933,20.67852,14.790375,10.108445
"swisher",4.96362,6.812985,11.30342,16.01107,21.38602,26.04485,27.384565,27.08978,22.78911,16.835795,10.05212,4.76127
"tarrant",8.60399,10.169805,14.56288,18.819925,24.17976,28.64977,30.699885,31.08504,26.49719,20.53209,14.38251,8.523795
"taylor",8.311415,10.10206,14.50122,19.15898,24.11549,28.01399,29.162735,29.50726,25.39318,19.70477,13.369575,8.156125
"terrell",11.39239,13.59026,17.52788,22.19032,26.825125,29.74203,29.570015,29.84732,26.75674,21.762255,15.735445,11.036255
"terry",6.992585,9.16144,13.201475,17.91729,23.05753,27.312595,28.016365,27.54018,23.74166,18.328035,11.663675,6.73416
"throckmorton",7.762555,9.521425,14.25472,18.820185,24.13231,28.723745,30.43885,30.727145,26.030385,19.88572,13.34871,7.582615
"titus",7.940645,9.56213,13.929585,17.65701,22.95387,27.08583,29.27384,29.71961,25.511885,19.53299,13.78319,7.9492
